iterations,cooling,fitness,accuracy,train_time,test_time
10,0.05,139,28.4253578732,0.396999835968,0.0200002193451
100,0.05,350,71.5746421268,1.53699994087,0.0110001564026
500,0.05,330,67.4846625767,5.81900000572,0.00999999046326
1000,0.05,335,68.5071574642,11.5910000801,0.00799989700317
2500,0.05,361,73.8241308793,29.5379998684,0.0090000629425
5000,0.05,357,73.0061349693,59.1070001125,0.00899982452393
10,0.1,350,71.5746421268,0.119999885559,0.0090000629425
100,0.1,139,28.4253578732,1.1740000248,0.0090000629425
500,0.1,340,69.5296523517,6.03799986839,0.0090000629425
1000,0.1,338,69.1206543967,11.8170001507,0.00899982452393
2500,0.1,331,67.6891615542,29.9879999161,0.0090000629425
5000,0.1,359,73.4151329243,59.5369999409,0.0090000629425
10,0.2,341,69.7341513292,0.118000030518,0.0090000629425
100,0.2,346,70.7566462168,1.17000007629,0.00799989700317
500,0.2,330,67.4846625767,6.00499987602,0.007000207901
1000,0.2,339,69.3251533742,11.9250001907,0.00699996948242
2500,0.2,335,68.5071574642,29.9270000458,0.00799989700317
5000,0.2,349,71.3701431493,60.1159999371,0.007000207901
10,0.3,350,71.5746421268,0.118999958038,0.00800013542175
100,0.3,350,71.5746421268,1.18800020218,0.00799989700317
500,0.3,350,71.5746421268,5.89999985695,0.0090000629425
1000,0.3,340,69.5296523517,11.8910000324,0.00699996948242
2500,0.3,341,69.7341513292,29.4679999352,0.007000207901
5000,0.3,370,75.6646216769,59.0859999657,0.00699996948242
10,0.4,139,28.4253578732,0.12299990654,0.00800013542175
100,0.4,348,71.1656441718,1.16300010681,0.00699996948242
500,0.4,350,71.5746421268,6.08100008965,0.00699996948242
1000,0.4,352,71.9836400818,11.8680000305,0.00699996948242
2500,0.4,354,72.3926380368,29.3899998665,0.007000207901
5000,0.4,347,70.9611451943,59.8860001564,0.00699996948242
10,0.5,183,37.4233128834,0.118000030518,0.00699996948242
100,0.5,350,71.5746421268,1.15599989891,0.00799989700317
500,0.5,350,71.5746421268,5.95399999619,0.00699996948242
1000,0.5,341,69.7341513292,11.875,0.00699996948242
2500,0.5,353,72.1881390593,29.6600000858,0.00699996948242
5000,0.5,339,69.3251533742,59.1870000362,0.00699996948242
10,0.6,139,28.4253578732,0.118000030518,0.00699996948242
100,0.6,350,71.5746421268,1.20299983025,0.00699996948242
500,0.6,347,70.9611451943,6.19099998474,0.00600004196167
1000,0.6,334,68.3026584867,12.0380001068,0.00699996948242
2500,0.6,340,69.5296523517,29.7179999352,0.00699996948242
5000,0.6,343,70.1431492843,59.6890001297,0.00699996948242
10,0.7,139,28.4253578732,0.119000196457,0.00699996948242
100,0.7,350,71.5746421268,1.16999983788,0.00699996948242
500,0.7,328,67.0756646217,6.01999998093,0.00699996948242
1000,0.7,346,70.7566462168,11.7339999676,0.00699996948242
2500,0.7,342,69.9386503067,29.5309998989,0.00699996948242
5000,0.7,357,73.0061349693,59.1909999847,0.00800013542175
10,0.8,350,71.5746421268,0.117999792099,0.007000207901
100,0.8,139,28.4253578732,1.25,0.007000207901
500,0.8,325,66.4621676892,5.88100004196,0.00699996948242
1000,0.8,344,70.3476482618,12.0350000858,0.00699996948242
2500,0.8,346,70.7566462168,29.4529998302,0.007000207901
5000,0.8,350,71.5746421268,58.8970000744,0.00699996948242
10,0.9,296,60.5316973415,0.116999864578,0.00600004196167
100,0.9,170,34.7648261759,1.16400003433,0.00699996948242
500,0.9,350,71.5746421268,5.88500022888,0.00699996948242
1000,0.9,346,70.7566462168,11.6320002079,0.00699996948242
2500,0.9,335,68.5071574642,29.4769999981,0.00699996948242
5000,0.9,355,72.5971370143,59.367000103,0.00699996948242
10,0.95,144,29.4478527607,0.121000051498,0.0090000629425
100,0.95,264,53.9877300613,1.17100000381,0.00699996948242
500,0.95,139,28.4253578732,5.88999986649,0.0090000629425
1000,0.95,350,71.5746421268,11.9149999619,0.00699996948242
2500,0.95,347,70.9611451943,29.6459999084,0.00699996948242
5000,0.95,346,70.7566462168,59.378000021,0.00699996948242
